あーにゃんみくにゃん,アナスタシア_前川みく
Jumpin'Joker,赤城みりあ_白坂小梅
LOVE LAIKA,新田美波_アナスタシア
MedeN,黒埼ちとせ_一ノ瀬志希
miroir,久川凪_久川颯
My-Style Revo,砂塚あきら_早坂美玲
NiGHT ENCOUNTER,星輝子_白坂小梅
P・U,堀裕子_安部菜々
RagnaroK,遊佐こずえ_神崎蘭子
Rêve Pur,水本ゆかり_小早川紗枝
Rock the Beat,多田李衣菜_木村夏樹
Rosenburg Alptraum,白坂小梅_神崎蘭子
Shock'in Pink!,藤本里奈_早坂美玲
Sleepy Princess,関裕美_櫻井桃華
Sola-iris,久川颯_乙倉悠貴
Sugar&Spicy,三村かな子_速水奏
VelvetRose,黒埼ちとせ_白雪千夜
XENOЯOS,白雪千夜_二宮飛鳥
可惜夜月,道明寺歌鈴_脇山珠美_浜口あやめ
アンダーザデスク,森久保乃々_星輝子_佐久間まゆ
イノセント・アニマ,速水奏_一ノ瀬志希_城ヶ崎美嘉
かくりよがたり＊はんなり,白坂小梅_小早川紗枝_依田芳乃
カミング・オブ・エイジ!,安部菜々_三船美優_佐藤心
京町乙女,緒方智絵里_神谷奈緒_諸星きらり
サクラ・シンクロニシティ,乙倉悠貴_二宮飛鳥_村上巴
桜舞姫,一ノ瀬志希_塩見周子_相葉夕美
サマーパラダイス,アナスタシア_前川みく_相葉夕美
シャイニングゴッドチェリー,星輝子_神谷奈緒_緒方智絵里
ジャポネスク,鷹富士茄子_道明寺歌鈴_依田芳乃
スカイズ・ザ・リミット,桐生つかさ_白菊ほたる_諸星きらり
トリクロマティック・ナチュレ,五十嵐響子_高森藍子_北条加蓮
トリプルスターズ,本田未央_北条加蓮_遊佐こずえ
ブルーカナリアローズ,相葉夕美_佐久間まゆ_渋谷凛
ももぺあべりー,櫻井桃華_的場梨沙_橘ありす
ユモレスク・ユニティ,小日向美穂_神谷奈緒_日野茜
ラフ&フィアーズ,早坂美玲_白坂小梅_的場梨沙
ロッキングガール,多田李衣菜_三村かな子_城ヶ崎莉嘉
individuals,森久保乃々_星輝子_早坂美玲
K.B.B.B,輿水幸子_二宮飛鳥_夢見りあむ
new generations,島村卯月_渋谷凛_本田未央
142's／カワイイボクと142's,輿水幸子_白坂小梅_星輝子
#UNICUS／#ユニット名募集中,辻野あかり_砂塚あきら_夢見りあむ
アーク・トライン,神崎蘭子_早坂美玲_白坂小梅
アミマネラ,島村卯月_宮本フレデリカ_喜多日菜子
ガンズパーティー,大和亜季_村上巴_片桐早苗
下ツインテール三姉妹,双葉杏_久川凪_遊佐こずえ
セクシーギャルズ,大槻唯_城ヶ崎美嘉_藤本里奈
ドリーミーキングダム,森久保乃々_遊佐こずえ_関裕美
バーニング・インパルス,木村夏樹_松永涼_向井拓海
ハニーバニーメニー☆,相葉夕美_十時愛梨_安部菜々
フェアリーフィースト,橘ありす_佐城雪美_緒方智絵里
プチ＊パフェアリー,遊佐こずえ_佐城雪美_双葉杏
フラワービーチマーメイド,藤本里奈_相葉夕美_向井拓海
マッシブライダース,木村夏樹_向井拓海_藤本里奈
女神たちの夏宴,高垣楓_片桐早苗_川島瑞樹
メルティーダークテンプテーション,川島瑞樹_神崎蘭子_村上巴
誘惑イビル,一ノ瀬志希_宮本フレデリカ_塩見周子
落花流水,佐久間まゆ_白坂小梅_北条加蓮
リトルエンジェルス,輿水幸子_緒方智絵里_神崎蘭子
ワンステップス,関裕美_白菊ほたる_森久保乃々
fleeting bouquet,結城晴_一ノ瀬志希_黒埼ちとせ
KBYD（カワイイボクと野球どすえ）,輿水幸子_小早川紗枝_姫川友紀
Sirius Chord,渋谷凛_白雪千夜_松永涼
Threat Sign,本田未央_ナターリア_結城晴
WtFみりあ&小梅&莉嘉／With 3 Friends☆,赤城みりあ_白坂小梅_城ヶ崎莉嘉
サロン・ドゥ・ラ・フェ,椎名法子_乙倉悠貴_関裕美
スウィートラブチェリー,三村かな子_佐久間まゆ_緒方智絵里
ハゴロモゴコロ,櫻井桃華_一ノ瀬志希_小早川紗枝
ピンキーキュート,島村卯月_小日向美穂_緒方智絵里
メロウ・イエロー,中野有香_水本ゆかり_椎名法子
CANDY ISLAND,三村かな子_双葉杏_緒方智絵里
Milky*Hug,三村かな子_島村卯月_緒方智絵里
P.C.S(ピンクチェックスクール),島村卯月_小日向美穂_五十嵐響子
397cherry,前川みく_安部菜々_緒方智絵里
アイドル・シネマ・パラダイス,松永涼_白坂小梅_速水奏
コネクト・エモーション,桐生つかさ_鷹富士茄子_藤原肇
ジャージDemoセクシー,鷺沢文香_新田美波_三船美優
トランクィル・ウィスパー,アナスタシア_鷺沢文香_高垣楓
Triad Primus,渋谷凛_神谷奈緒_北条加蓮
LOVE LAIKA with Rosenburg Engel,新田美波_アナスタシア_神崎蘭子
セクシーギルティ,及川雫_片桐早苗_堀裕子
凸レーション,諸星きらり_城ヶ崎莉嘉_赤城みりあ
B.B.ロワイヤル,姫川友紀_難波笑美_村上巴
Fav+rica,及川雫_佐藤心_諸星きらり
Positive Passion,本田未央_日野茜_高森藍子
セレクテッド,速水奏_大槻唯_アナスタシア_宮本フレデリカ
ハイカラサクラ,双葉杏_前川みく_新田美波_城ヶ崎莉嘉
もりくぼぱーりー,佐久間まゆ_森久保乃々_早坂美玲_星輝子
＊(Asterisk) with なつなな,前川みく_多田李衣菜_木村夏樹_安部菜々
Sonoritia,緒方智絵里_依田芳乃_遊佐こずえ_佐城雪美
ワンダー☆シスターズ,城ヶ崎莉嘉_城ヶ崎美嘉_久川凪_久川颯
Flamme Martini,桐生つかさ_三船美優_藤原肇_星輝子
炎陣,向井拓海_藤本里奈_松永涼_大和亜季_木村夏樹
SingA/LIVE,川島瑞樹_神崎蘭子_桐生つかさ_黒埼ちとせ_十時愛梨
チームヘラクレス,相葉夕美_城ヶ崎莉嘉_安部菜々_新田美波_多田李衣菜
春霞,道明寺歌鈴_浜口あやめ_脇山珠美_小早川紗枝_依田芳乃
宵乙女,高垣楓_佐藤心_安部菜々_三船美優_片桐早苗
ラピエサージュ,砂塚あきら_早坂美玲_堀裕子_多田李衣菜_二宮飛鳥
Ember last,松永涼_大和亜季_中野有香_前川みく_姫川友紀
Happy Princess,城ヶ崎美嘉_川島瑞樹_日野茜_小日向美穂_佐久間まゆ
LiPPS,速水奏_塩見周子_宮本フレデリカ_一ノ瀬志希_城ヶ崎美嘉
LittlePOPS,双葉杏_城ヶ崎莉嘉_二宮飛鳥_早坂美玲_白坂小梅
NEX-US,アナスタシア_神谷奈緒_中野有香_前川みく_星輝子
Sweetches,三村かな子_椎名法子_十時愛梨_及川雫_森久保乃々
アインフェリア,新田美波_鷺沢文香_橘ありす_高森藍子_相葉夕美
ポイズンリリック,白坂小梅_神崎蘭子_二宮飛鳥_一ノ瀬志希_宮本フレデリカ
Caper Parade,関裕美_赤城みりあ_櫻井桃華_相葉夕美_宮本フレデリカ
Love Yell,五十嵐響子_姫川友紀_水本ゆかり_諸星きらり_乙倉悠貴
Masque:Rade,佐久間まゆ_北条加蓮_小日向美穂_多田李衣菜_緒方智絵里
Merry Terrors,白坂小梅_辻野あかり_道明寺歌鈴_佐久間まゆ_小日向美穂
夕星灯,鷺沢文香_佐城雪美_鷹富士茄子_小早川紗枝_藤原肇
サクヤヒメ,三村かな子_緒方智絵里_輿水幸子_佐久間まゆ_小早川紗枝
C5,安部菜々_島村卯月_小日向美穂_双葉杏_前川みく
Heartful Bloom,安部菜々_五十嵐響子_緒方智絵里_道明寺歌鈴_早坂美玲
la Roseraie,宮本フレデリカ_一ノ瀬志希_櫻井桃華_中野有香_五十嵐響子
《蒼ノ楽団》、『アズール・ムジカ』,渋谷凛_高垣楓_神崎蘭子_多田李衣菜_新田美波
夜明けを告げる女神たち,アナスタシア_鷺沢文香_高垣楓_新田美波_速水奏
CAERULA,鷺沢文香_速水奏_橘ありす_塩見周子_二宮飛鳥
Caskets,アナスタシア_川島瑞樹_白坂小梅_神谷奈緒_北条加蓮
ゼッケンズ,十時愛梨_日野茜_高森藍子_星輝子_堀裕子
トロピカル☆スターズ,城ヶ崎莉嘉_諸星きらり_城ヶ崎美嘉_本田未央_赤城みりあ
